Order ID,Customer ID,Order Date
1,522,2016-01-01
2,2139,2016-01-01
3,2232,2016-01-01
4,2017,2016-01-01
5,2168,2016-01-01
6,2139,2016-01-02
7,707,2016-01-02
8,1018,2016-01-02
9,1345,2016-01-02
10,1429,2016-01-02
11,2267,2016-01-02
12,2064,2016-01-02
13,2144,2016-01-03
14,2107,2016-01-03
15,1525,2016-01-03
16,2038,2016-01-03
17,268,2016-01-03
18,150,2016-01-03
19,1627,2016-01-03
20,2218,2016-01-03
21,2179,2016-01-04
22,1588,2016-01-04
23,2206,2016-01-04
24,1073,2016-01-04
25,828,2016-01-04
26,2240,2016-01-04
27,1272,2016-01-04
28,1304,2016-01-05
29,1269,2016-01-05
30,1447,2016-01-05
31,56,2016-01-05
32,162,2016-01-05
33,2149,2016-01-06
34,2050,2016-01-06
35,2174,2016-01-07
36,2264,2016-01-07
37,2109,2016-01-07
38,1594,2016-01-07
39,912,2016-01-07
40,437,2016-01-07
41,1207,2016-01-08
42,2220,2016-01-08
43,2209,2016-01-08
44,37,2016-01-08
45,2087,2016-01-08
46,2188,2016-01-08
47,1701,2016-01-09
48,1094,2016-01-09
49,2188,2016-01-09
50,2104,2016-01-09
51,701,2016-01-10
52,2258,2016-01-10
53,1085,2016-01-10
54,622,2016-01-10
55,1652,2016-01-10
56,2086,2016-01-11
57,1273,2016-01-11
58,1216,2016-01-11
59,711,2016-01-12
60,2042,2016-01-12
61,1283,2016-01-12
62,2134,2016-01-13
63,2225,2016-01-13
64,204,2016-01-13
65,2130,2016-01-13
66,1844,2016-01-13
67,2004,2016-01-14
68,425,2016-01-14
69,1369,2016-01-14
70,449,2016-01-14
71,2154,2016-01-14
72,2005,2016-01-14
73,1653,2016-01-15
74,2092,2016-01-15
75,1614,2016-01-15
76,1885,2016-01-15
77,2078,2016-01-15
78,13,2016-01-15
79,247,2016-01-15
80,2070,2016-01-15
81,2031,2016-01-15
82,2175,2016-01-15
83,441,2016-01-16
84,2255,2016-01-16
85,444,2016-01-16
86,2286,2016-01-16
87,2293,2016-01-16
88,197,2016-01-16
89,2105,2016-01-17
90,2223,2016-01-17
91,332,2016-01-17
92,634,2016-01-17
93,1177,2016-01-17
94,2111,2016-01-17
95,2296,2016-01-17
96,1175,2016-01-17
97,1087,2016-01-19
98,2124,2016-01-19
99,2207,2016-01-20
100,2224,2016-01-20
101,1575,2016-01-20
102,2002,2016-01-20
103,1280,2016-01-21
104,2216,2016-01-21
105,2081,2016-01-21
106,1861,2016-01-21
107,411,2016-01-21
108,2172,2016-01-21
109,2093,2016-01-21
110,672,2016-01-21
111,2093,2016-01-21
112,2035,2016-01-21
113,1887,2016-01-22
114,2255,2016-01-22
115,2122,2016-01-22
116,2227,2016-01-22
117,1838,2016-01-22
118,2195,2016-01-22
119,53,2016-01-22
120,242,2016-01-22
121,2252,2016-01-22
122,2185,2016-01-22
123,2154,2016-01-22
124,2267,2016-01-22
125,1893,2016-01-23
126,1203,2016-01-23
127,2039,2016-01-23
128,2038,2016-01-23
129,797,2016-01-23
130,1161,2016-01-24
131,1138,2016-01-24
132,797,2016-01-24
133,2086,2016-01-24
134,1660,2016-01-24
135,2114,2016-01-24
136,276,2016-01-24
137,2243,2016-01-25
138,2104,2016-01-25
139,1996,2016-01-25
140,2027,2016-01-25
141,2263,2016-01-26
142,2121,2016-01-27
143,2088,2016-01-27
144,2038,2016-01-27
145,2069,2016-01-27
146,2121,2016-01-27
147,171,2016-01-27
148,2136,2016-01-27
149,902,2016-01-27
150,2048,2016-01-28
151,88,2016-01-28
152,2255,2016-01-28
153,2271,2016-01-28
154,157,2016-01-28
155,781,2016-01-29
156,485,2016-01-29
157,59,2016-01-29
158,357,2016-01-29
159,2187,2016-01-30
160,1530,2016-01-30
161,708,2016-01-30
162,2046,2016-01-30
163,2009,2016-01-30
164,2260,2016-01-30
165,2300,2016-01-30
166,2139,2016-01-30
167,2041,2016-01-30
168,2209,2016-01-30
169,492,2016-01-30
170,2170,2016-01-30
171,807,2016-01-31
172,2208,2016-01-31
173,212,2016-01-31
174,311,2016-01-31
175,1844,2016-01-31
176,2045,2016-01-31
177,1447,2016-01-31
178,2231,2016-01-31
179,1448,2016-01-31
180,369,2016-01-31
181,2267,2016-01-31
182,214,2016-01-31
183,2117,2016-02-01
184,222,2016-02-01
185,1243,2016-02-01
186,2093,2016-02-02
187,2282,2016-02-02
188,2195,2016-02-02
189,2121,2016-02-02
190,2106,2016-02-03
191,2265,2016-02-03
192,2288,2016-02-03
193,31,2016-02-03
194,2232,2016-02-03
195,425,2016-02-03
196,1214,2016-02-03
197,748,2016-02-03
198,2210,2016-02-03
199,2111,2016-02-03
200,1725,2016-02-03
201,2191,2016-02-04
202,852,2016-02-04
203,1529,2016-02-04
204,2147,2016-02-04
205,2019,2016-02-04
206,2086,2016-02-04
207,2039,2016-02-04
208,2148,2016-02-05
209,964,2016-02-05
210,90,2016-02-05
211,2219,2016-02-05
212,2188,2016-02-05
213,2050,2016-02-06
214,2003,2016-02-06
215,2180,2016-02-06
216,2030,2016-02-06
217,1079,2016-02-06
218,2280,2016-02-06
219,1628,2016-02-06
220,1293,2016-02-07
221,1383,2016-02-07
222,1383,2016-02-07
223,37,2016-02-07
224,2077,2016-02-07
225,1646,2016-02-07
226,625,2016-02-07
227,869,2016-02-07
228,1556,2016-02-07
229,2147,2016-02-07
230,69,2016-02-08
231,1562,2016-02-08
232,861,2016-02-08
233,2109,2016-02-08
234,1913,2016-02-08
235,1846,2016-02-08
236,2274,2016-02-09
237,1665,2016-02-09
238,1569,2016-02-09
239,677,2016-02-09
240,1337,2016-02-09
241,495,2016-02-09
242,2122,2016-02-10
243,2203,2016-02-10
244,2007,2016-02-10
245,1868,2016-02-10
246,1276,2016-02-11
247,1102,2016-02-11
248,2218,2016-02-11
249,299,2016-02-12
250,154,2016-02-12
251,2046,2016-02-12
252,2018,2016-02-12
253,1697,2016-02-12
254,2074,2016-02-12
255,2019,2016-02-12
256,344,2016-02-13
257,1272,2016-02-13
258,1143,2016-02-14
259,2280,2016-02-14
260,1734,2016-02-14
261,386,2016-02-14
262,2100,2016-02-14
263,2044,2016-02-14
264,1465,2016-02-14
265,1656,2016-02-14
266,2047,2016-02-15
267,2180,2016-02-15
268,979,2016-02-15
269,187,2016-02-15
270,2146,2016-02-15
271,2231,2016-02-16
272,2232,2016-02-16
273,1332,2016-02-16
274,2063,2016-02-16
275,995,2016-02-16
276,2034,2016-02-16
277,490,2016-02-16
278,1263,2016-02-17
279,2294,2016-02-17
280,2287,2016-02-17
281,2069,2016-02-17
282,268,2016-02-18
283,1744,2016-02-18
284,2206,2016-02-18
285,1161,2016-02-18
286,1329,2016-02-18
287,2177,2016-02-18
288,669,2016-02-18
289,2011,2016-02-18
290,1904,2016-02-19
291,584,2016-02-19
292,1781,2016-02-19
293,1697,2016-02-19
294,2183,2016-02-19
295,2227,2016-02-19
296,2254,2016-02-20
297,988,2016-02-20
298,2150,2016-02-20
299,732,2016-02-20
300,2291,2016-02-20
301,2162,2016-02-20
302,622,2016-02-21
303,2269,2016-02-21
304,2070,2016-02-21
305,920,2016-02-21
306,1430,2016-02-21
307,41,2016-02-21
308,2154,2016-02-21
309,1657,2016-02-21
310,303,2016-02-21
311,825,2016-02-21
312,549,2016-02-21
313,691,2016-02-21
314,1715,2016-02-22
315,2128,2016-02-22
316,2102,2016-02-22
317,1520,2016-02-22
318,2089,2016-02-22
319,995,2016-02-23
320,311,2016-02-23
321,1985,2016-02-23
322,2022,2016-02-24
323,1071,2016-02-24
324,2003,2016-02-24
325,2196,2016-02-25
326,1985,2016-02-25
327,2172,2016-02-25
328,2276,2016-02-25
329,2121,2016-02-25
330,2102,2016-02-26
331,1760,2016-02-26
332,1299,2016-02-27
333,2077,2016-02-27
334,2202,2016-02-27
335,1278,2016-02-27
336,2238,2016-02-27
337,2013,2016-02-27
338,2235,2016-02-27
339,1227,2016-02-27
340,1941,2016-02-27
341,2070,2016-02-28
342,2227,2016-02-28
343,2067,2016-02-28
344,1815,2016-03-01
345,2076,2016-03-01
346,2011,2016-03-01
347,725,2016-03-01
348,52,2016-03-01
349,1152,2016-03-01
350,357,2016-03-01
351,1400,2016-03-01
352,444,2016-03-01
353,2163,2016-03-01
354,2132,2016-03-01
355,1829,2016-03-01
356,152,2016-03-02
357,1713,2016-03-02
358,1416,2016-03-02
359,2158,2016-03-02
360,848,2016-03-02
361,2149,2016-03-02
362,1140,2016-03-03
363,651,2016-03-03
364,1844,2016-03-03
365,2132,2016-03-03
366,1963,2016-03-03
367,2201,2016-03-03
368,796,2016-03-03
369,1454,2016-03-03
370,2167,2016-03-03
371,1425,2016-03-03
372,2220,2016-03-03
373,374,2016-03-04
374,2295,2016-03-04
375,1124,2016-03-04
376,2267,2016-03-04
377,2213,2016-03-04
378,1849,2016-03-04
379,1481,2016-03-04
380,403,2016-03-04
381,1513,2016-03-04
382,2095,2016-03-04
383,2140,2016-03-04
384,756,2016-03-04
385,2052,2016-03-04
386,725,2016-03-05
387,2051,2016-03-05
388,2099,2016-03-05
389,353,2016-03-05
390,2219,2016-03-05
391,748,2016-03-05
392,2298,2016-03-05
393,2118,2016-03-05
394,429,2016-03-05
395,2160,2016-03-05
396,2061,2016-03-05
397,1958,2016-03-05
398,464,2016-03-05
399,1042,2016-03-05
400,480,2016-03-05
401,1613,2016-03-06
402,806,2016-03-06
403,1218,2016-03-06
404,2152,2016-03-06
405,2206,2016-03-06
406,117,2016-03-07
407,608,2016-03-07
408,2217,2016-03-07
409,380,2016-03-07
410,2192,2016-03-07
411,2233,2016-03-07
412,2228,2016-03-07
413,1459,2016-03-07
414,1812,2016-03-07
415,604,2016-03-07
416,2035,2016-03-07
417,1825,2016-03-08
418,2051,2016-03-08
419,1859,2016-03-08
420,2048,2016-03-08
421,2010,2016-03-08
422,2098,2016-03-08
423,560,2016-03-08
424,1272,2016-03-09
425,1539,2016-03-09
426,1427,2016-03-09
427,874,2016-03-09
428,2207,2016-03-09
429,2053,2016-03-09
430,515,2016-03-09
431,1532,2016-03-09
432,2068,2016-03-09
433,2109,2016-03-09
434,1844,2016-03-10
435,2044,2016-03-10
436,31,2016-03-10
437,2133,2016-03-10
438,2171,2016-03-10
439,2230,2016-03-10
440,1981,2016-03-10
441,32,2016-03-10
442,2219,2016-03-11
443,2228,2016-03-11
444,2040,2016-03-11
445,1112,2016-03-11
446,1218,2016-03-11
447,1169,2016-03-11
448,1410,2016-03-11
449,123,2016-03-11
450,2199,2016-03-11
451,1639,2016-03-11
452,2036,2016-03-11
453,729,2016-03-11
454,785,2016-03-11
455,2237,2016-03-11
456,479,2016-03-12
457,1962,2016-03-12
458,2074,2016-03-12
459,2001,2016-03-12
460,2057,2016-03-12
461,2263,2016-03-12
462,1510,2016-03-12
463,416,2016-03-12
464,403,2016-03-12
465,2072,2016-03-13
466,2189,2016-03-13
467,1167,2016-03-13
468,856,2016-03-13
469,2089,2016-03-13
470,1155,2016-03-13
471,1055,2016-03-13
472,147,2016-03-13
473,2032,2016-03-13
474,1139,2016-03-14
475,2169,2016-03-14
476,1214,2016-03-14
477,986,2016-03-14
